models_fitness	models_synergies_tp	models_synergies_fp	models_synergies_tn	models_synergies_fn	models_sensitivity	models_specificity	models_precision	models_fpr
topology.sif_run_348__G19_M0.gitsbe	0.63432837	5	4	132	12	0.294117647058824	0.970588235294118	0.555555555555556	0.0294117647058824
topology.sif_run_227__G19_M6.gitsbe	0.6492537	4	5	131	13	0.235294117647059	0.963235294117647	0.444444444444444	0.0367647058823529
topology.sif_run_332__G19_M13.gitsbe	0.6641791	5	5	131	12	0.294117647058824	0.963235294117647	0.5	0.0367647058823529
topology.sif_run_216__G19_M1.gitsbe	0.63432837	0	2	134	17	0	0.985294117647059	0	0.0147058823529412
topology.sif_run_117__G19_M1.gitsbe	0.6119403	0	3	133	17	0	0.977941176470588	0	0.0220588235294118
topology.sif_run_357__G19_M0.gitsbe	0.6119403	3	7	129	14	0.176470588235294	0.948529411764706	0.3	0.0514705882352941
topology.sif_run_249__G19_M2.gitsbe	0.6567164	4	5	131	13	0.235294117647059	0.963235294117647	0.444444444444444	0.0367647058823529
topology.sif_run_127__G19_M2.gitsbe	0.6567164	3	6	130	14	0.176470588235294	0.955882352941177	0.333333333333333	0.0441176470588235
topology.sif_run_452__G19_M1.gitsbe	0.67164177	0	1	135	17	0	0.992647058823529	0	0.00735294117647059
topology.sif_run_267__G19_M3.gitsbe	0.6641791	2	3	133	15	0.117647058823529	0.977941176470588	0.4	0.0220588235294118
topology.sif_run_215__G19_M0.gitsbe	0.6567164	3	5	131	14	0.176470588235294	0.963235294117647	0.375	0.0367647058823529
topology.sif_run_87__G19_M2.gitsbe	0.6492537	3	8	128	14	0.176470588235294	0.941176470588235	0.272727272727273	0.0588235294117647
topology.sif_run_16__G19_M3.gitsbe	0.67164177	4	4	132	13	0.235294117647059	0.970588235294118	0.5	0.0294117647058824
topology.sif_run_247__G19_M1.gitsbe	0.6567164	4	5	131	13	0.235294117647059	0.963235294117647	0.444444444444444	0.0367647058823529
topology.sif_run_55__G19_M5.gitsbe	0.6567164	3	5	131	14	0.176470588235294	0.963235294117647	0.375	0.0367647058823529
topology.sif_run_104__G19_M1.gitsbe	0.6567164	1	3	133	16	0.0588235294117647	0.977941176470588	0.25	0.0220588235294118
topology.sif_run_431__G19_M5.gitsbe	0.6268657	2	4	132	15	0.117647058823529	0.970588235294118	0.333333333333333	0.0294117647058824
topology.sif_run_225__G19_M2.gitsbe	0.6641791	3	6	130	14	0.176470588235294	0.955882352941177	0.333333333333333	0.0441176470588235
topology.sif_run_43__G19_M0.gitsbe	0.6641791	1	3	133	16	0.0588235294117647	0.977941176470588	0.25	0.0220588235294118
topology.sif_run_258__G19_M15.gitsbe	0.6268657	2	3	133	15	0.117647058823529	0.977941176470588	0.4	0.0220588235294118
topology.sif_run_8__G19_M0.gitsbe	0.6119403	1	5	131	16	0.0588235294117647	0.963235294117647	0.166666666666667	0.0367647058823529
topology.sif_run_156__G19_M2.gitsbe	0.6268657	4	4	132	13	0.235294117647059	0.970588235294118	0.5	0.0294117647058824
topology.sif_run_392__G19_M4.gitsbe	0.6492537	5	5	131	12	0.294117647058824	0.963235294117647	0.5	0.0367647058823529
topology.sif_run_198__G19_M0.gitsbe	0.6567164	4	6	130	13	0.235294117647059	0.955882352941177	0.4	0.0441176470588235
topology.sif_run_169__G19_M3.gitsbe	0.6492537	3	5	131	14	0.176470588235294	0.963235294117647	0.375	0.0367647058823529
topology.sif_run_422__G19_M1.gitsbe	0.63432837	4	1	135	13	0.235294117647059	0.992647058823529	0.8	0.00735294117647059
topology.sif_run_483__G19_M2.gitsbe	0.64179105	2	8	128	15	0.117647058823529	0.941176470588235	0.2	0.0588235294117647
topology.sif_run_89__G19_M3.gitsbe	0.64179105	2	3	133	15	0.117647058823529	0.977941176470588	0.4	0.0220588235294118
topology.sif_run_453__G19_M8.gitsbe	0.6641791	4	5	131	13	0.235294117647059	0.963235294117647	0.444444444444444	0.0367647058823529
topology.sif_run_460__G19_M6.gitsbe	0.6641791	1	3	133	16	0.0588235294117647	0.977941176470588	0.25	0.0220588235294118
topology.sif_run_244__G19_M1.gitsbe	0.64179105	0	5	131	17	0	0.963235294117647	0	0.0367647058823529
